year,month,outage_count
2014,11,11715
2014,12,5456
2015,1,29105
2015,2,44918
2015,3,35622
2015,4,10723
2015,5,14351
2015,6,48404
2015,7,33717
2015,8,17310
2015,9,17864
2015,10,11638
2015,11,9436
2015,12,7602
2016,1,26768
2016,2,21788
2016,3,15047
2016,4,10186
2016,5,16017
2016,6,38168
2016,7,24000
2016,8,32200
2016,9,77368
2016,10,11492
2016,11,7549
2016,12,15694
2017,1,28131
2017,2,16090
2017,3,36381
2017,4,16070
2017,5,14520
2017,6,18999
2017,7,17938
2017,8,13249
2017,9,10028
2017,10,13706
2017,11,12907
2017,12,28991
2018,1,184784
2018,2,32830
2018,3,241848
2018,4,31034
2018,5,39980
2018,6,27260
2018,7,30154
2018,8,32208
2018,9,9595
2018,10,11566
2018,11,15095
2018,12,10915
2019,1,16931
2019,2,36372
2019,3,13959
2019,4,22582
2019,5,11842
2019,6,28221
2019,7,74972
2019,8,17149
2019,9,4466
2019,10,21859
2019,11,25069
2019,12,33157
2020,1,18995
2020,2,16770
2020,3,12838
2020,4,8958
2020,5,10380
2020,6,17825
2020,7,62749
2020,8,51488
2020,9,12002
2020,10,16172
2020,11,16597
2020,12,29334
2021,1,16065
2021,2,56325
2021,3,27437
2021,4,15231
2021,5,29583
2021,6,42164
2021,7,30807
2021,8,32068
2021,9,19853
2021,10,16644
2021,11,16422
2021,12,16817
2022,1,69726
2022,2,57591
2022,3,29877
2022,4,123690
2022,5,43263
2022,6,41965
2022,7,61870
2022,8,42083
2022,9,24445
2022,10,26115
2022,11,25189
2022,12,41406
2023,1,15984
2023,2,19058
2023,3,14391
2023,4,15977
2023,5,20932
2023,6,8933
2023,7,37758
2023,8,20393
2023,9,31727
2023,10,13966
2023,11,7288
2023,12,18728
