analysis,sig_level,significant_count,total_tested,sig_rate
SW vs Occurrence (tract),0.05,1008,2168,0.46494464944649444
SW vs Duration (tract),0.05,0,2168,0.0
Trend in Occurrence (tract),0.05,0,2168,0.0
Trend in Duration (tract),0.05,0,2168,0.0
Month Effect by Year,0.05,10,10,1.0
SW vs Occurrence (tract),0.01,669,2168,0.30857933579335795
SW vs Duration (tract),0.01,0,2168,0.0
Trend in Occurrence (tract),0.01,0,2168,0.0
Trend in Duration (tract),0.01,0,2168,0.0
Month Effect by Year,0.01,10,10,1.0
