month,year,outage_occurrence,outage_duration_mean
1,2015,29105,6.250652808795739
1,2016,26768,4.653793708906156
1,2017,28131,3.853400163520671
1,2018,184784,2.9238678673478224
1,2019,16931,2.6122792510779043
1,2020,18995,1.7945380363253487
1,2021,16065,1.9940242763772176
1,2022,69726,2.746048819665548
1,2023,15984,1.2145583083083082
2,2015,44918,6.952602520147825
2,2016,21788,3.6503120984027904
2,2017,16090,10.487290242386576
2,2018,32830,1.9157706366128542
2,2019,36372,3.4558451556142087
2,2020,16770,2.9745676803816337
2,2021,56325,9.789431868619618
2,2022,57591,4.751323991595909
2,2023,19058,2.092166019519362
3,2015,35622,8.557710122957722
3,2016,15047,1.7009038346514256
3,2017,36381,3.5433811604958634
3,2018,241848,5.471484155337237
3,2019,13959,9.348413210115337
3,2020,12838,2.696467518305032
3,2021,27437,1.685415679556803
3,2022,29877,1.1043193761087124
3,2023,14391,2.4870752553679383
4,2015,10723,2.08428145108645
4,2016,10186,2.5082220695071666
4,2017,16070,2.0101431238332297
4,2018,31034,1.8518157504672295
4,2019,22582,2.08549951288637
4,2020,8958,2.4624916275954454
4,2021,15231,2.1727398069726216
4,2022,123690,0.8595561484356051
4,2023,15977,1.3813294110283532
5,2015,14351,2.0049299700369314
5,2016,16017,2.509911344196791
5,2017,14520,2.0332300275482096
5,2018,39980,1.373955727863932
5,2019,11842,1.4237037662557
5,2020,10380,1.3696531791907514
5,2021,29583,1.6923570969813744
5,2022,43263,1.553382798234057
5,2023,20932,1.0197424995222626
6,2015,48404,2.0297857615073136
6,2016,38168,1.4865463215258856
6,2017,18999,3.916521922206432
6,2018,27260,2.112307410124725
6,2019,28221,3.017646433506963
6,2020,17825,2.94
6,2021,42164,4.429940233374443
6,2022,41965,1.8579173120457524
6,2023,8933,1.527930146647263
7,2015,33717,3.264295459263873
7,2016,24000,3.33921875
7,2017,17938,2.2154643772995875
7,2018,30154,2.5574799363268554
7,2019,74972,6.593048071279944
7,2020,62749,4.832694544932987
7,2021,30807,3.1654007206154446
7,2022,61870,2.507737999030225
7,2023,37758,1.9763295195720112
8,2015,17310,1.3579867128827268
8,2016,32200,2.6232298136645964
8,2017,13249,1.5246433693108914
8,2018,32208,4.271531917536016
8,2019,17149,1.9743716834800864
8,2020,51488,24.9600343769422
8,2021,32068,3.597846763128352
8,2022,42083,2.8075826343178956
8,2023,20393,2.0578139557691366
9,2015,17864,1.7879814151365876
9,2016,77368,3.122906111053666
9,2017,10028,1.0844635021938571
9,2018,9595,2.43509640437728
9,2019,4466,0.8842364532019704
9,2020,12002,1.9565280786535577
9,2021,19853,5.459464564549438
9,2022,24445,1.4301288607077112
9,2023,31727,4.497643962555552
10,2015,11638,1.421378243684482
10,2016,11492,2.484097633136095
10,2017,13706,1.9550014592149423
10,2018,11566,1.294354141449075
10,2019,21859,2.795404638821538
10,2020,16172,1.5900785307939649
10,2021,16644,1.483582672434511
10,2022,26115,1.1834482098410875
10,2023,13966,1.9326936846627525
11,2014,11715,1.875416133162612
11,2015,9436,0.9999205171682917
11,2016,7549,1.2018148099085972
11,2017,12907,2.2294491361276827
11,2018,15095,2.190576349784697
11,2019,25069,3.9781104152538993
11,2020,16597,2.332047960474785
11,2021,16422,2.4415418341249544
11,2022,25189,2.401722974314185
11,2023,7288,1.5929267288693743
12,2014,5456,1.494776392961877
12,2015,7602,1.627663772691397
12,2016,15694,4.279438001784121
12,2017,28991,3.144389638163568
12,2018,10915,1.689120476408612
12,2019,33157,3.2987906022860933
12,2020,29334,10.392820617713234
12,2021,16817,1.8889367901528216
12,2022,41406,1.961811090180167
12,2023,18728,2.963557240495515
