tract_fips,1,2,3,4,5,6,7,8,9,10,11,12
36005000100,125,99,205,110,57,99,176,107,97,53,43,70
36005000200,125,99,205,110,57,99,176,107,97,53,43,70
36005000400,125,99,205,110,57,99,176,107,97,53,43,70
36005001600,125,99,205,110,57,99,176,107,97,53,43,70
36005001900,125,99,205,110,57,99,176,107,97,53,43,70
36005002000,125,99,205,110,57,99,176,107,97,53,43,70
36005002300,125,99,205,110,57,99,176,107,97,53,43,70
36005002400,125,99,205,110,57,99,176,107,97,53,43,70
36005002500,125,99,205,110,57,99,176,107,97,53,43,70
36005002701,125,99,205,110,57,99,176,107,97,53,43,70
36005002702,125,99,205,110,57,99,176,107,97,53,43,70
36005002800,125,99,205,110,57,99,176,107,97,53,43,70
36005003100,125,99,205,110,57,99,176,107,97,53,43,70
36005003300,125,99,205,110,57,99,176,107,97,53,43,70
36005003500,125,99,205,110,57,99,176,107,97,53,43,70
36005003700,125,99,205,110,57,99,176,107,97,53,43,70
36005003800,125,99,205,110,57,99,176,107,97,53,43,70
36005003900,125,99,205,110,57,99,176,107,97,53,43,70
36005004001,125,99,205,110,57,99,176,107,97,53,43,70
36005004100,125,99,205,110,57,99,176,107,97,53,43,70
36005004200,125,99,205,110,57,99,176,107,97,53,43,70
36005004300,125,99,205,110,57,99,176,107,97,53,43,70
36005004400,125,99,205,110,57,99,176,107,97,53,43,70
36005004600,125,99,205,110,57,99,176,107,97,53,43,70
36005004800,125,99,205,110,57,99,176,107,97,53,43,70
36005005001,125,99,205,110,57,99,176,107,97,53,43,70
36005005002,125,99,205,110,57,99,176,107,97,53,43,70
36005005100,125,99,205,110,57,99,176,107,97,53,43,70
36005005200,125,99,205,110,57,99,176,107,97,53,43,70
36005005300,125,99,205,110,57,99,176,107,97,53,43,70
36005005400,125,99,205,110,57,99,176,107,97,53,43,70
36005005600,125,99,205,110,57,99,176,107,97,53,43,70
36005005902,125,99,205,110,57,99,176,107,97,53,43,70
36005006000,125,99,205,110,57,99,176,107,97,53,43,70
36005006100,125,99,205,110,57,99,176,107,97,53,43,70
36005006200,125,99,205,110,57,99,176,107,97,53,43,70
36005006300,125,99,205,110,57,99,176,107,97,53,43,70
36005006400,125,99,205,110,57,99,176,107,97,53,43,70
36005006500,125,99,205,110,57,99,176,107,97,53,43,70
36005006700,125,99,205,110,57,99,176,107,97,53,43,70
36005006800,125,99,205,110,57,99,176,107,97,53,43,70
36005006900,125,99,205,110,57,99,176,107,97,53,43,70
36005007000,125,99,205,110,57,99,176,107,97,53,43,70
36005007100,125,99,205,110,57,99,176,107,97,53,43,70
36005007200,125,99,205,110,57,99,176,107,97,53,43,70
36005007300,125,99,205,110,57,99,176,107,97,53,43,70
36005007400,125,99,205,110,57,99,176,107,97,53,43,70
36005007500,125,99,205,110,57,99,176,107,97,53,43,70
36005007600,125,99,205,110,57,99,176,107,97,53,43,70
36005007700,125,99,205,110,57,99,176,107,97,53,43,70
36005007800,125,99,205,110,57,99,176,107,97,53,43,70
36005007900,125,99,205,110,57,99,176,107,97,53,43,70
36005008300,125,99,205,110,57,99,176,107,97,53,43,70
36005008400,125,99,205,110,57,99,176,107,97,53,43,70
36005008500,125,99,205,110,57,99,176,107,97,53,43,70
36005008600,125,99,205,110,57,99,176,107,97,53,43,70
36005008700,125,99,205,110,57,99,176,107,97,53,43,70
36005008900,125,99,205,110,57,99,176,107,97,53,43,70
