outcome,model,term,coef,p_value,abs_coef
Log duration,dur_nonlinear,I(cvi_overall ** 2),-3.084051398440084,0.0006415260243493791,3.084051398440084
Log duration,dur_nonlinear,cvi_overall,2.806925556283454,0.0017746312850674519,2.806925556283454
Log duration,dur_interaction,cvi_climate_extreme_events,-0.2370456361870793,1.4048875193273901e-11,0.2370456361870793
Log duration,dur_interaction,cvi_baseline_social_econ,-0.1315615066322753,2.0345758965838774e-09,0.1315615066322753
Log duration,dur_nonlinear,year_centered,0.019700319552380642,4.654744605072938e-78,0.019700319552380642
Log duration,dur_linear,year_centered,0.01963595350992116,2.110950616488695e-77,0.01963595350992116
Log duration,dur_interaction,year_centered,0.019530121988126724,8.653706978701147e-77,0.019530121988126724
Log duration,dur_linear,cvi_overall,-0.017217182663567872,0.7750111273917013,0.017217182663567872
Log duration,dur_nonlinear,severe_weather_count:cvi_overall,0.013279171694893144,1.4866140489100556e-14,0.013279171694893144
Log duration,dur_nonlinear,severe_weather_count,-0.007141086018592967,2.3694158582713103e-16,0.007141086018592967
Log duration,dur_interaction,severe_weather_count:cvi_climate_extreme_events,0.002551940663108521,0.004463598998594997,0.002551940663108521
Log duration,dur_interaction,severe_weather_count,-0.0014192192058275013,3.5521326975393946e-05,0.0014192192058275013
Log duration,dur_linear,severe_weather_count,-0.0004689221269022824,6.048648179692846e-09,0.0004689221269022824
Occurrence,occ_nonlinear,cvi_overall,5406.683899430461,0.0,5406.683899430461
Occurrence,occ_nonlinear,I(cvi_overall ** 2),-5393.726071245059,0.0,5393.726071245059
Occurrence,occ_interaction,cvi_climate_extreme_events,-124.84022848602535,3.672958740838658e-115,124.84022848602535
Occurrence,occ_linear,cvi_overall,-59.72123264335504,2.723562893631261e-10,59.72123264335504
Occurrence,occ_interaction,cvi_baseline_social_econ,-9.28299977147733,0.006380240334134029,9.28299977147733
Occurrence,occ_nonlinear,severe_weather_count:cvi_overall,-5.468511710533898,8.511192549967347e-99,5.468511710533898
Occurrence,occ_nonlinear,year_centered,5.2722436356618285,9.413692726275851e-242,5.2722436356618285
Occurrence,occ_interaction,year_centered,5.174066226657498,8.205023932070159e-217,5.174066226657498
Occurrence,occ_nonlinear,severe_weather_count,5.104211056978043,0.0,5.104211056978043
Occurrence,occ_linear,year_centered,5.070784296824907,2.3349106909197998e-203,5.070784296824907
Occurrence,occ_linear,severe_weather_count,2.376871381936855,0.0,2.376871381936855
Occurrence,occ_interaction,severe_weather_count,2.2503344065022812,0.0,2.2503344065022812
Occurrence,occ_interaction,severe_weather_count:cvi_climate_extreme_events,0.2790820921638132,0.04502064391921147,0.2790820921638132
