cvi_variable,outcome,n,spearman_rho,p_value,abs_rho
cvi_baseline_infra,dur_log_slope_per_year,2168,0.6412231345485971,2.1289602297702563e-251,0.6412231345485971
cvi_overall,dur_log_slope_per_year,2168,0.5618021500363515,1.28792983788578e-180,0.5618021500363515
cvi_baseline_all,dur_log_slope_per_year,2168,0.5570217604198265,5.9568501189463175e-177,0.5570217604198265
cvi_baseline_health,dur_log_slope_per_year,2168,0.4913420906038299,3.849303776852979e-132,0.4913420906038299
cvi_baseline_social_econ,dur_log_slope_per_year,2168,0.47884565162076176,1.1329576121704124e-124,0.47884565162076176
cvi_climate_social_econ,avg_duration_hours,2168,0.40161745449991515,7.890874302287826e-85,0.40161745449991515
cvi_climate_extreme_events,occ_slope_per_year,2168,-0.3485847591049108,5.709262530039092e-63,0.3485847591049108
cvi_climate_extreme_events,avg_outage_occurrence,2168,-0.3135079295288863,1.1881741417834238e-50,0.3135079295288863
cvi_climate_social_econ,avg_outage_occurrence,2168,0.29498833426329185,8.76390365727643e-45,0.29498833426329185
cvi_climate_extreme_events,avg_duration_hours,2168,0.26423720224395025,5.8457351188706055e-36,0.26423720224395025
cvi_baseline_infra,avg_duration_hours,2168,0.23385232081639531,2.571438763830978e-28,0.23385232081639531
cvi_climate_social_econ,dur_log_slope_per_year,2168,0.21411387563453468,6.710675725218029e-24,0.21411387563453468
cvi_climate_all,avg_duration_hours,2168,0.20172175934612804,2.4291573900509512e-21,0.20172175934612804
cvi_baseline_social_econ,occ_slope_per_year,2168,0.189981237851065,4.573713421855895e-19,0.189981237851065
cvi_climate_health,avg_duration_hours,2168,-0.16453288927576468,1.2668756339712947e-14,0.16453288927576468
cvi_climate_health,occ_slope_per_year,2168,0.1574658455054908,1.6594624088359508e-13,0.1574658455054908
cvi_overall,avg_duration_hours,2168,0.15418385130323065,5.27046697313112e-13,0.15418385130323065
cvi_climate_all,occ_slope_per_year,2168,-0.1471528522816775,5.768162077256184e-12,0.1471528522816775
cvi_baseline_env,avg_outage_occurrence,2168,-0.1301678813161868,1.1776946258182304e-09,0.1301678813161868
cvi_baseline_all,avg_duration_hours,2168,0.11074725255279563,2.3469005896507336e-07,0.11074725255279563
cvi_baseline_env,occ_slope_per_year,2168,-0.10718623391538677,5.664414870884201e-07,0.10718623391538677
cvi_climate_health,avg_outage_occurrence,2168,0.10675844395042437,6.285200503001299e-07,0.10675844395042437
cvi_baseline_all,occ_slope_per_year,2168,0.10666546727748866,6.428540213703799e-07,0.10666546727748866
cvi_baseline_health,occ_slope_per_year,2168,0.10532928042813901,8.870612048457356e-07,0.10532928042813901
cvi_climate_social_econ,occ_slope_per_year,2168,-0.10242025245192349,1.7644036025013367e-06,0.10242025245192349
cvi_baseline_health,avg_outage_occurrence,2168,-0.08337276571153167,0.00010169408982824951,0.08337276571153167
cvi_overall,avg_outage_occurrence,2168,-0.0807682263615991,0.00016675197747710848,0.0807682263615991
cvi_baseline_env,dur_log_slope_per_year,2168,-0.07731713438886051,0.00031415114427552006,0.07731713438886051
cvi_baseline_health,avg_duration_hours,2168,0.06572904460318307,0.002198573975661702,0.06572904460318307
cvi_overall,occ_slope_per_year,2168,0.06335359695264813,0.003166236372022765,0.06335359695264813
cvi_baseline_all,avg_outage_occurrence,2168,-0.049858580097930615,0.020253964696248027,0.049858580097930615
cvi_baseline_infra,occ_slope_per_year,2168,0.047819931713011146,0.025975948675114532,0.047819931713011146
cvi_climate_health,dur_log_slope_per_year,2168,-0.045642670206216956,0.03357942731615881,0.045642670206216956
cvi_baseline_infra,avg_outage_occurrence,2168,-0.03825818434687898,0.07491341751145834,0.03825818434687898
cvi_climate_all,avg_outage_occurrence,2168,0.03174578992204443,0.13949863210469968,0.03174578992204443
cvi_baseline_env,avg_duration_hours,2168,0.016290704817570105,0.44836886681686705,0.016290704817570105
cvi_climate_all,dur_log_slope_per_year,2168,-0.01564088015004691,0.46667979649650976,0.01564088015004691
cvi_climate_extreme_events,dur_log_slope_per_year,2168,-0.012322335916970273,0.5663462346218248,0.012322335916970273
cvi_baseline_social_econ,avg_outage_occurrence,2168,0.005944121189797791,0.7820782574404327,0.005944121189797791
cvi_baseline_social_econ,avg_duration_hours,2168,-0.0010100143515947115,0.9625124600871707,0.0010100143515947115
