county_fips,year,n_tracts,occ_unique,dur_unique,sw_unique
36005,2014,339,1,1,1
36005,2015,339,1,1,1
36005,2016,339,1,1,1
36005,2017,339,1,1,1
36005,2018,339,1,1,1
36005,2019,339,1,1,1
36005,2020,339,1,1,1
36005,2021,339,1,1,1
36005,2022,339,1,1,1
36005,2023,339,1,1,1
36047,2014,761,1,1,1
36047,2015,761,1,1,1
36047,2016,761,1,1,1
36047,2017,761,1,1,1
36047,2018,761,1,1,1
36047,2019,761,1,1,1
36047,2020,761,1,1,1
36047,2021,761,1,1,1
36047,2022,761,1,1,1
36047,2023,761,1,1,1
36061,2015,288,1,1,1
36061,2016,288,1,1,1
36061,2017,288,1,1,1
36061,2019,288,1,1,1
36061,2020,288,1,1,1
36061,2021,288,1,1,1
36061,2022,288,1,1,1
36061,2023,288,1,1,1
36081,2014,669,1,1,1
36081,2015,669,1,1,1
36081,2016,669,1,1,1
36081,2017,669,1,1,1
36081,2018,669,1,1,1
36081,2019,669,1,1,1
36081,2020,669,1,1,1
36081,2021,669,1,1,1
36081,2022,669,1,1,1
36081,2023,669,1,1,1
36085,2014,111,1,1,1
36085,2015,111,1,1,1
36085,2016,111,1,1,1
36085,2017,111,1,1,1
36085,2019,111,1,1,1
36085,2020,111,1,1,1
36085,2021,111,1,1,1
36085,2022,111,1,1,1
36085,2023,111,1,1,1
