family,model,label,formula,nobs,r_squared,aic,year_coef,year_p,weather_coef,weather_p,cvi_term,cvi_coef,cvi_p,interaction_term,interaction_coef,interaction_p,pseudo_r_squared,cvi_irr,weather_irr,interaction_irr,cvi_effect_sig_05,cvi_effect_sig_01
OLS,overall_only,Overall CVI only,log_outage_occurrence ~ year_centered + C(month) + z_severe_weather_count + z_cvi_overall_mean,600,0.22602033759817985,1661.109661088035,0.1099318740493742,4.0718557015117035e-15,0.17809587921303274,9.77855321217285e-06,z_cvi_overall_mean,0.2753264443681825,4.753881321260345e-12,,,,,,,,True,True
Poisson,overall_only,Overall CVI only,outage_occurrence ~ year_centered + C(month) + z_severe_weather_count + z_cvi_overall_mean,600,,5628.8200674699,0.08729254523120915,8.944364852870463e-60,0.11678646434656761,2.1677327586221473e-29,z_cvi_overall_mean,0.1328832733417313,1.9712226401578077e-19,,,,0.17642186447990627,1.1421166750870213,1.1238794157402616,,True,True
OLS,social_econ_only,Social-economic CVI only,log_outage_occurrence ~ year_centered + C(month) + z_severe_weather_count + z_cvi_baseline_social_econ_mean,600,0.2387698560964142,1651.1437438064172,0.11016486916599905,2.1802795155182856e-15,0.17112021720991066,1.8542790444525616e-05,z_cvi_baseline_social_econ_mean,0.3011031501053671,3.3891939679179325e-14,,,,,,,,True,True
Poisson,social_econ_only,Social-economic CVI only,outage_occurrence ~ year_centered + C(month) + z_severe_weather_count + z_cvi_baseline_social_econ_mean,600,,5540.571236197076,0.08738792460523655,6.183916758710598e-60,0.11305111482853167,2.5881147469177658e-27,z_cvi_baseline_social_econ_mean,0.18571199927117116,5.746464505876081e-40,,,,0.19557097194238982,1.2040754358340813,1.1196891642055278,,True,True
OLS,climate_only,Climate-extreme CVI only,log_outage_occurrence ~ year_centered + C(month) + z_severe_weather_count + z_cvi_climate_extreme_events_mean,600,0.24627840484582275,1645.1961402975544,0.11031494698098135,1.4847561048437975e-15,0.1666270238475361,2.8133881523260874e-05,z_cvi_climate_extreme_events_mean,-0.31539824358025886,1.7853629123024355e-15,,,,,,,,True,True
Poisson,climate_only,Climate-extreme CVI only,outage_occurrence ~ year_centered + C(month) + z_severe_weather_count + z_cvi_climate_extreme_events_mean,600,,5135.816969972091,0.08776583369829052,1.529319425354271e-60,0.10205412861563061,2.8721283567473795e-22,z_cvi_climate_extreme_events_mean,-0.43147407715571306,5.821051848157492e-102,,,,0.28339857065448437,0.6495509005267945,1.1074434144845249,,True,True
OLS,climate_interaction,Climate CVI + interaction,log_outage_occurrence ~ year_centered + C(month) + z_severe_weather_count + z_cvi_climate_extreme_events_mean + z_severe_weather_count:z_cvi_climate_extreme_events_mean,600,0.2464008356247177,1647.0986713719337,0.11024899687693615,1.6320442989940041e-15,0.17124983066131988,5.750542345337046e-05,z_cvi_climate_extreme_events_mean,-0.3141426666887973,3.3357515407126036e-15,z_severe_weather_count:z_cvi_climate_extreme_events_mean,0.01663934651519991,0.7581755334742645,,,,,True,True
Poisson,climate_interaction,Climate CVI + interaction,outage_occurrence ~ year_centered + C(month) + z_severe_weather_count + z_cvi_climate_extreme_events_mean + z_severe_weather_count:z_cvi_climate_extreme_events_mean,600,,5137.801302266585,0.08777753166617816,1.5533401478548494e-60,0.10132947729833056,3.7686423213077194e-17,z_cvi_climate_extreme_events_mean,-0.4313617239630798,9.977171039302374e-102,z_severe_weather_count:z_cvi_climate_extreme_events_mean,-0.0024354285492502667,0.900494099312389,0.2834019703887598,0.6496238837441185,1.106641194855244,0.9975675347007763,True,True
OLS,high_share_only,High-vulnerability share only,log_outage_occurrence ~ year_centered + C(month) + z_severe_weather_count + z_high_cvi_share,600,0.1653872670430816,1706.3629973611419,0.10953586744341756,4.3466722928162886e-14,0.18995195703206116,5.538643858485004e-06,z_high_cvi_share,0.0780132389863176,0.05436815994914541,,,,,,,,False,False
Poisson,high_share_only,High-vulnerability share only,outage_occurrence ~ year_centered + C(month) + z_severe_weather_count + z_high_cvi_share,600,,5701.263423652707,0.08725937731564516,9.793314048818051e-60,0.11660514050878135,4.880074929294159e-31,z_high_cvi_share,-0.043958181928314605,0.003976079517306102,,,,0.16070238590461627,0.9569939762789887,1.1236756480859156,,True,True
