family,label,cvi_coef,cvi_p,sig_05,sig_01
OLS,Overall CVI only,0.2753264443681825,4.753881321260345e-12,p < 0.05,p < 0.01
Poisson,Overall CVI only,0.1328832733417313,1.9712226401578077e-19,p < 0.05,p < 0.01
OLS,Social-economic CVI only,0.3011031501053671,3.3891939679179325e-14,p < 0.05,p < 0.01
Poisson,Social-economic CVI only,0.18571199927117116,5.746464505876081e-40,p < 0.05,p < 0.01
OLS,Climate-extreme CVI only,-0.31539824358025886,1.7853629123024355e-15,p < 0.05,p < 0.01
Poisson,Climate-extreme CVI only,-0.43147407715571306,5.821051848157492e-102,p < 0.05,p < 0.01
OLS,Climate CVI + interaction,-0.3141426666887973,3.3357515407126036e-15,p < 0.05,p < 0.01
Poisson,Climate CVI + interaction,-0.4313617239630798,9.977171039302374e-102,p < 0.05,p < 0.01
OLS,High-vulnerability share only,0.0780132389863176,0.05436815994914541,n.s.,n.s.
Poisson,High-vulnerability share only,-0.043958181928314605,0.003976079517306102,p < 0.05,p < 0.01
