year,duration_median,duration_p90,long_share_8h
2014,1.21875,2.1375000000000006,0.017857142857142856
2015,1.475,8.565000000000001,0.08686485001532074
2016,1.775,6.495,0.09028561970965149
2017,1.525,6.590000000000001,0.07349381559220389
2018,1.4166666666666667,6.625,0.06411964924425984
2019,2.275,5.735,0.05165767844526128
2020,1.95,9.340000000000007,0.13969951419637977
2021,1.675,8.219999999999999,0.11591175735195122
2022,1.025,4.965,0.04964602576006531
2023,1.2,5.3100000000000005,0.05733291419284907
